Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
EOS Titanium Ti64 DMSL on EOS M 400 SF,"{'metric_value': '4.40', 'metric_unit': 'g/cc', 'comment': 'ISO 3369'}",,"{'metric_value': '1100', 'metric_unit': 'MPa', 'comment': 'As built; ISO 6892-1'}","{'metric_value': '1270', 'metric_unit': 'MPa', 'comment': 'As built; ISO 6892-1'}",,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.050 %', '<= 0.050 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '87.6 - 91 %', '87.6 - 91 %', 'Balance'], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], [''], [], ['Surface roughness', '15-30 µm', 'Rz, after shot peening'], ['', '5-10 µm', 'Ra, after shot peening'], ['Volume rate', '5 mm³/s', '']]"
Special Metals Nitinol Superelastic Ni-Ti alloy,"{'metric_value': '6.50', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '814', 'metric_unit': 'MPa', 'comment': 'of martensite after transition'}","{'metric_value': '1070', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Iron, Fe', '<= 0.050 %', '<= 0.050 %', ''], ['Nickel, Ni', '55.3 - 56.3 %', '55.3 - 56.3 %', ''], ['Oxygen, O', '<= 0.050 %', '<= 0.050 %', ''], ['Titanium, Ti', '43.55 - 44.7 %', '43.55 - 44.7 %', ''], [''], [], ['Lower superelastic plateau stress, ksi', '20', ''], ['Upper superelastic plateau stress, ksi', '55', '']]"
Goodfellow Titanium 78/Aluminum 22 Alloy,,,,,,,,"[['Aluminum, Al', '22 %', '22 %', ''], ['Titanium, Ti', '78 %', '78 %', '']]"
Goodfellow Copper 56.4/Titanium 43.6 Alloy,,,,,,,,"[['Copper, Cu', '56.4 %', '56.4 %', ''], ['Titanium, Ti', '43.6 %', '43.6 %', '']]"
Deutsche Titan Tikrutan RT 12 Pd Low-Alloyed Titanium,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '180', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '29', 'metric_unit': '0', 'comment': ''}",,"{'metric_value': '0.520', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '8.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Carbon, C', '<= 0.060 %', '<= 0.060 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.15 %', '<= 0.15 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Palladium, Pd', '0.15 - 0.25 %', '0.15 - 0.25 %', ''], ['Titanium, Ti', '>= 99.357 %', '>= 99.357 %', '']]"
Matexcel MET-0015 Titanium-based TA19 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Tin, Sn', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Titanium, Ti', '84.2575 - 87.3 %', '84.2575 - 87.3 %', ''], ['Zirconium, Zr', '<= 0.13 %', '<= 0.13 %', ''], ['', '3.6 - 4.4 %', '3.6 - 4.4 %', '']]"
Ti-25Al-17Nb-1Mo Titanium Aluminide,,,"{'metric_value': '989', 'metric_unit': 'MPa', 'comment': 'Fine Widmanstätten microstructure'}","{'metric_value': '1133', 'metric_unit': 'MPa', 'comment': 'Fine Widmanstätten microstructure'}",,,,"[['Aluminum, Al', '13.3 %', '13.3 %', 'by weight'], ['Molybdenum, Mo', '1.9 %', '1.9 %', 'by weight'], ['Niobium, Nb (Columbium, Cb)', '31.1 %', '31.1 %', 'by weight'], ['Titanium, Ti', '53.7 %', '53.7 %', 'by weight']]"
Universal Wire Works 6Al-4V (ELI) (AMS 4956) Titanium Alloy Filler Metal,,,"{'metric_value': '827', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '896', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '<= 6.75 %', '<= 6.75 %', ''], ['Carbon, C', '<= 0.030 %', '<= 0.030 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Nitrogen, N', '<= 0.012 %', '<= 0.012 %', ''], ['Other', '<= 0.10 %', '<= 0.10 %', ''], ['Oxygen, O', '<= 0.080 %', '<= 0.080 %', ''], ['Titanium, Ti', '>= 88.273 %', '>= 88.273 %', 'As Remainder'], ['Vanadium, V', '<= 4.5 %', '<= 4.5 %', '']]"
Titanium Ti-7Al-4Mo Annealed,"{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '111', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '970', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1030', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.515', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.00 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '7.0 %', '7.0 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '89 %', '89 %', '']]"
Universal Wire Works 6Al-4V (AMS 4954) Titanium Alloy Filler Metal,,,"{'metric_value': '827', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '896', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '<= 6.75 %', '<= 6.75 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Other', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '>= 87.775 %', '>= 87.775 %', 'As Remainder'], ['Vanadium, V', '<= 4.5 %', '<= 4.5 %', '']]"
Sandvik Ti3Al2.5V Titanium Tubing,"{'metric_value': '4.51', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': 'CWSR'}","{'metric_value': '485', 'metric_unit': 'MPa', 'comment': 'annealed'}","{'metric_value': '621', 'metric_unit': 'MPa', 'comment': 'annealed'}",,,"[{'value': '9.00 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Nitrogen, N', '<= 0.20 %', '<= 0.20 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '92.8 - 95.5 %', '92.8 - 95.5 %', 'As balance'], ['Vanadium, V', '2.0 - 3.0 %', '2.0 - 3.0 %', '']]"
Matexcel MET-0014 Titanium-based TA1 Powder,,,,,,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '>= 99.705 %', '>= 99.705 %', '']]"
Special Metals Nitinol Chrome-Doped Superelastic Ni-Ti alloy,"{'metric_value': '6.50', 'metric_unit': 'g/cc', 'comment': ''}",,,"{'metric_value': '1550', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Chromium, Cr', '0.20 - 0.30 %', '0.20 - 0.30 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.050 %', '<= 0.050 %', ''], ['Nickel, Ni', '55.3 - 56.3 %', '55.3 - 56.3 %', ''], ['Oxygen, O', '<= 0.050 %', '<= 0.050 %', ''], ['Titanium, Ti', '43.235 - 44.5 %', '43.235 - 44.5 %', ''], [''], [], ['Lower superelastic plateau stress, ksi', '35', ''], ['Upper superelastic plateau stress, ksi', '80', '']]"
ALLVAR Alloy 30 Negative CTE Titanium Alloy,,,"{'metric_value': '35', 'metric_unit': '0', 'comment': ''}","{'metric_value': '75', 'metric_unit': '0', 'comment': ''}",,,"[{'value': '25.0 µm/m-°C', 'start_temp': '-40.0 °C', 'end_temp': '60.0 °C'}]",[]
"Titanium Ti-8Mo-8V-2Fe-3Al, ST 785°C, Quenched","{'metric_value': '4.85', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '86.0', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '860', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '890', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '2.0 %', '2.0 %', ''], ['Molybdenum, Mo', '8.0 %', '8.0 %', ''], ['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '0.10 - 0.16 %', '0.10 - 0.16 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', ''], ['Titanium, Ti', '79 %', '79 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', '']]"
"Titanium Ti-8Al-1Mo-1V (Ti-8-1-1), Beta Annealed, Aged","{'metric_value': '4.37', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '120', 'metric_unit': 'GPa', 'comment': 'unspecified heat treatment'}","{'metric_value': '900', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1020', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.502', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '7.35 - 8.35 %', '7.35 - 8.35 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '0.75 - 1.25 %', '0.75 - 1.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '88.185 - 91.15 %', '88.185 - 91.15 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '0.75 - 1.25 %', '0.75 - 1.25 %', '']]"
"Titanium Ti-15Mo-5Zr ST 730°C, Aged 450°C","{'metric_value': '5.06', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Typical Value for STA beta titanium alloy.'}",,"{'metric_value': '1550', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.540', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.20 µm/m-°C', 'start_temp': '0.000 °C', 'end_temp': '315 °C'}]","[['Hydrogen, H', '<= 0.020 %', '<= 0.020 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '80 %', '80 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
Lucas-Milhaupt 69-273 Titanium Joining Alloy,,,,,,,,[]
Titanium Transage 134 Triplex Heat Treat 870/690/450°C,"{'metric_value': '4.73', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Typical Value for STA beta titanium alloy.'}","{'metric_value': '1200', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1280', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.5 %', '2.5 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '77.5 %', '77.5 %', ''], ['Vanadium, V', '12 %', '12 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '6.0 %', '6.0 %', '']]"
"Titanium Ti-8Mo-8V-2Fe-3Al ST 800°C, Aged 540°C (1000°F)","{'metric_value': '4.85', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '120', 'metric_unit': 'GPa', 'comment': 'Sample was ST 785ºC, Aged 480ºC'}","{'metric_value': '1150', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1200', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '2.0 %', '2.0 %', ''], ['Molybdenum, Mo', '8.0 %', '8.0 %', ''], ['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '0.10 - 0.16 %', '0.10 - 0.16 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', ''], ['Titanium, Ti', '79 %', '79 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', '']]"
"Titanium Ti-5-5-2-3 (Ti-5Mo-5V-2Cr-3Al), 60 mm Bar, Aged","{'metric_value': '4.80', 'metric_unit': 'g/cc', 'comment': 'estimated by MatWeb'}","{'metric_value': '113', 'metric_unit': 'GPa', 'comment': 'Aged Condition II'}","{'metric_value': '1220', 'metric_unit': 'MPa', 'comment': 'Aged Condition II'}","{'metric_value': '1300', 'metric_unit': 'MPa', 'comment': 'Aged Condition II'}",,,,"[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Chromium, Cr', '2.0 %', '2.0 %', ''], ['Molybdenum, Mo', '5.0 %', '5.0 %', ''], ['Titanium, Ti', '85 %', '85 %', ''], ['Vanadium, V', '5.0 %', '5.0 %', '']]"
Titanium IMI 685 (Ti-6Al-5Zr-0.5Mo-0.25Si),"{'metric_value': '4.45', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '90.0', 'metric_unit': 'GPa', 'comment': 'dynamic'}","{'metric_value': '75', 'metric_unit': '8', 'comment': '0.2% offset'}",,,,"[{'value': '9.80 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '<= 0.050 %', '<= 0.050 %', ''], ['Molybdenum, Mo', '0.50 %', '0.50 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.020 %', '<= 0.020 %', ''], ['Silicon, Si', '0.25 %', '0.25 %', ''], ['Titanium, Ti', '88 %', '88 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
EOS Titanium Ti64 DMSL on EOS M 400-4,"{'metric_value': '4.41', 'metric_unit': 'g/cc', 'comment': 'ISO 3369'}",,"{'metric_value': '955', 'metric_unit': 'MPa', 'comment': 'Horizontal, Heat treated; ISO 6892-1'}","{'metric_value': '1070', 'metric_unit': 'MPa', 'comment': 'Horizontal, Heat treated; ISO 6892-1'}",,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.050 %', '<= 0.050 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '87.6 - 91 %', '87.6 - 91 %', 'Balance'], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], [''], [], ['Surface roughness', '30-75 µm', 'Rz, after shot peening'], ['', '6-15 µm', 'Ra, after shot peening'], ['Volume rate', 'Up to 4 x 9,0 mm³/s', '']]"
Titanium Ti-13V-11Cr-3Al; (Ti-13-11-3) Annealed 850°C (1560°F) + Aged 510°C 8 hr,"{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1140', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1210', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '120', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0'}","{'metric_value': '0.545', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '9.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '95.0 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '11 %', '11 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Nitrogen, N', '<= 0.080 %', '<= 0.080 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '73 %', '73 %', ''], ['Vanadium, V', '13 %', '13 %', '']]"
Ti30Nb ß titanium alloy,,"{'metric_value': '70.0', 'metric_unit': 'GPa', 'comment': 'As rolled'}","{'metric_value': '500', 'metric_unit': 'MPa', 'comment': 'as rolled'}","{'metric_value': '700', 'metric_unit': 'MPa', 'comment': 'as rolled'}",,,,"[['Niobium, Nb (Columbium, Cb)', '30 %', '30 %', ''], ['Titanium, Ti', '70 %', '70 %', '']]"
Titanium IMI 367 (Ti-6Al-7Nb),"{'metric_value': '4.52', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '80', 'metric_unit': '0', 'comment': '0.2% offset'}",,"{'metric_value': '500', 'metric_unit': 'MPa', 'comment': ''}",,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.0090 %', '<= 0.0090 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Tantalum, Ta', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '86 %', '86 %', '']]"
Universal Wire Works 6Al-4V (AMS 4954) Titanium Alloy Filler Metal,,,"{'metric_value': '827', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '896', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '<= 6.75 %', '<= 6.75 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Other', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '>= 87.775 %', '>= 87.775 %', 'As Remainder'], ['Vanadium, V', '<= 4.5 %', '<= 4.5 %', '']]"
"Titanium Ti-6Al-2Sn-2Zr-2Mo-2Cr-.25Si, STA","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '122', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1140', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1280', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '290', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0; R = 0.1'}","{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': 'Estimated from similar materials'}","[{'value': '9.40 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.040 %', '<= 0.040 %', ''], ['Chromium, Cr', '2.0 %', '2.0 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '2.0 %', '2.0 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.14 %', '<= 0.14 %', ''], ['Silicon, Si', '0.25 %', '0.25 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '86 %', '86 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
"Kobe Steel KS40 Commercially Pure Titanium, ASTM Gr. 1, Annealed","{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '17', 'metric_unit': '0', 'comment': ''}","{'metric_value': '240', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '>= 99.495 %', '>= 99.495 %', 'As Remainder']]"
Deutsche Titan Tikrutan LT 27 Low-Alloyed Titanium,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '103', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '345', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '480', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.520', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '9.30 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '400 °C'}]","[['Carbon, C', '<= 0.060 %', '<= 0.060 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '0.20 - 0.40 %', '0.20 - 0.40 %', ''], ['Nickel, Ni', '0.60 - 0.90 %', '0.60 - 0.90 %', ''], ['Nitrogen, N', '<= 0.25 %', '<= 0.25 %', ''], ['Oxygen, O', '<= 0.25 %', '<= 0.25 %', ''], ['Titanium, Ti', '>= 97.877 %', '>= 97.877 %', '']]"
"Titanium Ti-13V-2.7Al-7Sn-2Zr, ST 815°C, Aged 540°C (1000°F)","{'metric_value': '4.70', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1100', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1150', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.7 %', '2.7 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '7.0 %', '7.0 %', ''], ['Titanium, Ti', '75 %', '75 %', ''], ['Vanadium, V', '13 %', '13 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
