Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
MetalTek MTEK A Cast UNS N04020 Nickel-Copper Alloy,,,"{'metric_value': '170', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '450', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '<= 0.50 %', '<= 0.50 %', ''], ['Carbon, C', '<= 0.35 %', '<= 0.35 %', ''], ['Copper, Cu', '26 - 33 %', '26 - 33 %', ''], ['Iron, Fe', '<= 3.5 %', '<= 3.5 %', ''], ['Manganese, Mn', '<= 1.5 %', '<= 1.5 %', ''], ['Nickel, Ni', '62 - 68 %', '62 - 68 %', ''], ['Silicon, Si', '<= 2.0 %', '<= 2.0 %', ''], [''], [], ['Heat Treatment', 'Not Heat Treated', '']]"
Goodfellow T2-Thermocouple Alloy,"{'metric_value': '8.70', 'metric_unit': 'g/cc', 'comment': ''}",,,,,,"[{'value': '16.8 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '1000 °C'}]","[['Nickel, Ni', '95 %', '95 %', '']]"
Ametek High Purity Nickel Strip 899M Hard,"{'metric_value': '8.90', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '55', 'metric_unit': '2', 'comment': ''}","{'metric_value': '58', 'metric_unit': '6', 'comment': ''}",,,,"[['Carbon, C', '0.0050 - 0.020 %', '0.0050 - 0.020 %', ''], ['Copper, Cu', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.050 %', '<= 0.050 %', ''], ['Manganese, Mn', '<= 0.25 %', '<= 0.25 %', ''], ['Nickel, Ni', '99.6 %', '99.6 %', ''], ['Silicon, Si', '<= 0.0010 %', '<= 0.0010 %', ''], ['Sulfur, S', '<= 0.0010 %', '<= 0.0010 %', '']]"
"Haynes 625 alloy, plate after 8000 hours at 650°C (1200°F)","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '810', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1130', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
Nitinol - NiTi Shape Memory Alloy; Low-Temperature Phase,"{'metric_value': '6.45', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '28.0', 'metric_unit': 'GPa', 'comment': 'Approximate'}","{'metric_value': '100', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '75', 'metric_unit': '4', 'comment': ''}",,"{'metric_value': '0.320', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Nickel, Ni', '55 %', '55 %', ''], ['Titanium, Ti', '45 %', '45 %', '']]"
Sandvik Sanicro 70 Seamless tube and pipe,"{'metric_value': '8.40', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '214', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '205', 'metric_unit': 'MPa', 'comment': 'cold finished'}","{'metric_value': '55', 'metric_unit': '0', 'comment': 'hot finished'}",,"{'metric_value': '0.460', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '13.5 µm/m-°C', 'start_temp': '30.0 °C', 'end_temp': '100 °C'}]","[['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Chromium, Cr', '16.5 %', '16.5 %', ''], ['Copper, Cu', '<= 0.50 %', '<= 0.50 %', ''], ['Iron, Fe', '<= 10 %', '<= 10 %', ''], ['Manganese, Mn', '0.80 %', '0.80 %', ''], ['Nickel, Ni', '72.5 %', '72.5 %', ''], ['Phosphorus, P', '<= 0.015 %', '<= 0.015 %', ''], ['Silicon, Si', '0.40 %', '0.40 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', '']]"
"Haynes 625 alloy, 0% cold reduction","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '480', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '915', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
Goodfellow Nickel 52/Iron 48 Alloy,"{'metric_value': '8.40', 'metric_unit': 'g/cc', 'comment': ''}",,,,,,,"[['Iron, Fe', '48 %', '48 %', ''], ['Nickel, Ni', '52 %', '52 %', '']]"
Aperam Nickel 212 Resistant Alloys Nickel Alloys,"{'metric_value': '8.86', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '300', 'metric_unit': 'MPa', 'comment': ''}",,,,"[{'value': '12.9 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '1000 °C'}]","[['Copper, Cu', '<= 0.25 %', '<= 0.25 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Manganese, Mn', '1.5 - 2.5 %', '1.5 - 2.5 %', ''], ['Nickel, Ni', '>= 97 %', '>= 97 %', '']]"
"Materion Beryllium Nickel Strip - Alloy 360 MH10, Mill Hardened","{'metric_value': '8.28', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '19', 'metric_unit': '5', 'comment': ''}","{'metric_value': '137', 'metric_unit': '9', 'comment': ''}","{'metric_value': '165', 'metric_unit': '5', 'comment': ''}",,,"[{'value': '14.0 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Beryllium, Be', '1.85 - 2.05 %', '1.85 - 2.05 %', ''], ['Copper, Cu', '<= 0.25 %', '<= 0.25 %', ''], ['Nickel, Ni', '97.3 %', '97.3 %', 'as balance'], ['Titanium, Ti', '0.40 - 0.60 %', '0.40 - 0.60 %', '']]"
ExOne Inconel 718 for 3D Printing,"{'metric_value': '8.13', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '193', 'metric_unit': 'GPa', 'comment': 'X & Y'}","{'metric_value': '1069', 'metric_unit': 'MPa', 'comment': 'X & Y'}","{'metric_value': '1310', 'metric_unit': 'MPa', 'comment': 'X & Y'}",,,,"[['Aluminum, Al', '0.200 - 0.800 %', '0.200 - 0.800 %', ''], ['Boron, B', '<= 0.00600 %', '<= 0.00600 %', ''], ['Carbon, C', '0.0400 - 0.130 %', '0.0400 - 0.130 %', ''], ['Chromium, Cr', '17.0 - 21.0 %', '17.0 - 21.0 %', ''], ['Cobalt, Co', '<= 1.00 %', '<= 1.00 %', ''], ['Copper, Cu', '<= 0.300 %', '<= 0.300 %', ''], ['Iron, Fe', '11.1 - 24.6 %', '11.1 - 24.6 %', 'balance'], ['Manganese, Mn', '<= 0.350 %', '<= 0.350 %', ''], ['Molybdenum, Mo', '2.80 - 3.30 %', '2.80 - 3.30 %', ''], ['Nb + Ta', '4.75 - 5.50 %', '4.75 - 5.50 %', ''], ['Nickel, Ni', '50.0 - 55.0 %', '50.0 - 55.0 %', ''], ['Phosphorus, P', '<= 0.0150 %', '<= 0.0150 %', ''], ['Silicon, Si', '<= 0.350 %', '<= 0.350 %', ''], ['Sulfur, S', '<= 0.0150 %', '<= 0.0150 %', ''], ['Titanium, Ti', '0.650 - 1.15 %', '0.650 - 1.15 %', ''], [''], [], ['Surface Roughness', '3.6 µm Ra', '']]"
California Fine Wire Nickel 271 Super Alloy,"{'metric_value': '8.89', 'metric_unit': 'g/cc', 'comment': ''}",,,,,,,"[['Nickel, Ni', '99.97 %', '99.97 %', ''], [''], [], ['Magnetic', 'Strong', ''], ['Temperature Coefficient of Resistance', '0.0065 ohms/ohm-°C', '0-100°C']]"
"HP Alloys Alloy 718, 30% Cold Worked","{'metric_value': '8.20', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '200', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1241', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1331', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.435', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '12.9 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '0.20 - 0.80 %', '0.20 - 0.80 %', ''], ['Boron, B', '<= 0.0060 %', '<= 0.0060 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Chromium, Cr', '17 - 21 %', '17 - 21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Copper, Cu', '<= 0.30 %', '<= 0.30 %', ''], ['Iron, Fe', '17 %', '17 %', ''], ['Manganese, Mn', '<= 0.35 %', '<= 0.35 %', ''], ['Molybdenum, Mo', '2.8 - 3.3 %', '2.8 - 3.3 %', ''], ['Nickel, Ni', '50 - 55 %', '50 - 55 %', ''], ['Niobium, Nb (Columbium, Cb)', '4.75 - 5.5 %', '4.75 - 5.5 %', ''], ['Phosphorus, P', '<= 0.015 %', '<= 0.015 %', ''], ['Silicon, Si', '<= 0.35 %', '<= 0.35 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', ''], ['Titanium, Ti', '0.65 - 1.15 %', '0.65 - 1.15 %', '']]"
Goodfellow Nickel Base Magnetic Shielding Alloy - Mu Metal,"{'metric_value': '8.80', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '19', 'metric_unit': '0', 'comment': ''}",,,,,"[{'value': '13.0 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Copper, Cu', '5.0 %', '5.0 %', ''], ['Iron, Fe', '14 %', '14 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Nickel, Ni', '77 %', '77 %', ''], [''], [], ['Saturation Induction (T)', '0.77', '']]"
"Haynes 625 alloy, 10% cold reduction, 1010°C anneal for 5 minutes","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '435', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '925', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
Sandvik Nikrothal 60 Resistance Wire,"{'metric_value': '8.20', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '300', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'MPa', 'comment': 'deformation rate= 6.2x10-2/min'}",,"{'metric_value': '0.460', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '14.0 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '250 °C'}]","[['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '14 - 18 %', '14 - 18 %', ''], ['Iron, Fe', '>= 19.2 %', '>= 19.2 %', ''], ['Manganese, Mn', '<= 1.0 %', '<= 1.0 %', ''], ['Nickel, Ni', '57 - 60 %', '57 - 60 %', ''], ['Silicon, Si', '1.0 - 1.7 %', '1.0 - 1.7 %', '']]"
EOS NickelAlloy IN718 DMSL on EOS M 400-4,"{'metric_value': '8.15', 'metric_unit': 'g/cc', 'comment': 'Part; ISO 3369'}",,"{'metric_value': '1215', 'metric_unit': 'MPa', 'comment': 'Heat treated, Vertical; ISO 6892-1 B10'}","{'metric_value': '1420', 'metric_unit': 'MPa', 'comment': 'Heat treated, Vertical; ISO 6892-1 B10'}",,,,"[['Aluminum, Al', '0.20 - 0.80 %', '0.20 - 0.80 %', ''], ['Boron, B', '<= 0.0060 %', '<= 0.0060 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Chromium, Cr', '17 - 21 %', '17 - 21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Copper, Cu', '<= 0.30 %', '<= 0.30 %', ''], ['Iron, Fe', '11.1 - 24.6 %', '11.1 - 24.6 %', 'Balance'], ['Manganese, Mn', '<= 0.35 %', '<= 0.35 %', ''], ['Molybdenum, Mo', '2.8 - 3.3 %', '2.8 - 3.3 %', ''], ['Nickel, Ni', '50 - 55 %', '50 - 55 %', ''], ['Niobium, Nb (Columbium, Cb)', '4.75 - 5.5 %', '4.75 - 5.5 %', ''], ['Phosphorus, P', '<= 0.015 %', '<= 0.015 %', ''], ['Silicon, Si', '<= 0.35 %', '<= 0.35 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', ''], ['Titanium, Ti', '0.65 - 1.15 %', '0.65 - 1.15 %', ''], [''], [], ['Surface roughness', '<6.5 µm', 'Ra, after shot peening'], ['', '50 µm', 'Rz, after shot peening'], ['Volume rate', 'Up to 4 x 4.2 mm³/s', '']]"
Ametek High Purity Nickel Strip 899E 50% Cold-Rolled,"{'metric_value': '8.90', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '689', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '703', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '0.010 - 0.020 %', '0.010 - 0.020 %', ''], ['Copper, Cu', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.050 %', '<= 0.050 %', ''], ['Magnesium, Mg', '<= 0.0035 %', '<= 0.0035 %', ''], ['Manganese, Mn', '<= 0.25 %', '<= 0.25 %', ''], ['Nickel, Ni', '99.5 %', '99.5 %', ''], ['Silicon, Si', '<= 0.0020 %', '<= 0.0020 %', ''], ['Sulfur, S', '<= 0.0010 %', '<= 0.0010 %', ''], ['Tin, Sn', '<= 0.070 %', '<= 0.070 %', '']]"
Goodfellow Nickel 60/Titanium 40 Alloy,,,,,,,,"[['Nickel, Ni', '60 %', '60 %', ''], ['Titanium, Ti', '40 %', '40 %', '']]"
"Carpenter MP35N* Ni-Co-Cr-Mo Alloy, 0% Cold Reduction + Aged 538°C (1000°F)/4hr/AC","{'metric_value': '8.43', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '232.8', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '414', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '931', 'metric_unit': 'MPa', 'comment': ''}",,,"[{'value': '12.8 µm/m-°C', 'start_temp': '21.0 °C', 'end_temp': '93.0 °C'}]","[['Boron, B', '0.010 %', '0.010 %', ''], ['Carbon, C', '<= 0.025 %', '<= 0.025 %', ''], ['Chromium, Cr', '19 - 21 %', '19 - 21 %', ''], ['Cobalt, Co', '33 %', '33 %', 'as remainder'], ['Iron, Fe', '<= 1.0 %', '<= 1.0 %', ''], ['Manganese, Mn', '<= 0.15 %', '<= 0.15 %', ''], ['Molybdenum, Mo', '9.0 - 10.5 %', '9.0 - 10.5 %', ''], ['Nickel, Ni', '33 - 37 %', '33 - 37 %', ''], ['Phosphorus, P', '<= 0.015 %', '<= 0.015 %', ''], ['Silicon, Si', '<= 0.15 %', '<= 0.15 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', ''], ['Titanium, Ti', '<= 1.0 %', '<= 1.0 %', '']]"
PSM Industries Pacific Sintered Metals FN-255-S Nickel Steel Powdered Metal (MPIF FN-0200-25),"{'metric_value': '7.20', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '131', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '207', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '345', 'metric_unit': 'MPa', 'comment': ''}",,,,[]
"Crucible Compaction Metals P/M Low Carbon Astroloy, Supersolvus",,,"{'metric_value': '125', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '155', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '3.85 - 4.15 %', '3.85 - 4.15 %', ''], ['Boron, B', '0.015 - 0.025 %', '0.015 - 0.025 %', ''], ['Carbon, C', '0.020 - 0.040 %', '0.020 - 0.040 %', ''], ['Chromium, Cr', '14 - 16 %', '14 - 16 %', ''], ['Cobalt, Co', '16 - 18 %', '16 - 18 %', ''], ['Molybdenum, Mo', '4.5 - 5.5 %', '4.5 - 5.5 %', ''], ['Nickel, Ni', '52.6 - 58.3 %', '52.6 - 58.3 %', 'As Balance'], ['Titanium, Ti', '3.35 - 3.65 %', '3.35 - 3.65 %', '']]"
"Haynes R-41 alloy, sheet 0.762-2.54 mm exclusive, 30 minutes at 1121°C, air cooled, aged 16 hours at 899°C","{'metric_value': '8.25', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '150', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '702', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '900', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.452', 'metric_unit': 'J/g-°C@Temperature 27.0 °C', 'comment': ''}","[{'value': '13.5 µm/m-°C', 'start_temp': '21.0 °C', 'end_temp': '538 °C'}]","[['Aluminum, Al', '1.4 - 1.6 %', '1.4 - 1.6 %', ''], ['Boron, B', '0.0030 - 0.010 %', '0.0030 - 0.010 %', ''], ['Carbon, C', '0.050 - 0.12 %', '0.050 - 0.12 %', ''], ['Chromium, Cr', '18 - 20 %', '18 - 20 %', ''], ['Cobalt, Co', '10 - 12 %', '10 - 12 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Molybdenum, Mo', '9.0 - 10.5 %', '9.0 - 10.5 %', ''], ['Nickel, Ni', '53 %', '53 %', 'As Remainder'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', ''], ['Titanium, Ti', '3.0 - 3.3 %', '3.0 - 3.3 %', '']]"
"HP Alloys Alloy B-2, Solution Treated, 10% Cold Worked","{'metric_value': '9.22', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '189', 'metric_unit': 'GPa', 'comment': '(Heat treated at 1066°C (1950°F), rapid quenched, plate)'}",,,,"{'metric_value': '0.373', 'metric_unit': 'J/g-°C@Temperature 0.000 °C', 'comment': ''}","[{'value': '10.3 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '93.0 °C'}]","[['Carbon, C', '0.010 %', '0.010 %', ''], ['Chromium, Cr', '1.0 %', '1.0 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 2.0 %', '<= 2.0 %', ''], ['Manganese, Mn', '<= 1.0 %', '<= 1.0 %', ''], ['Molybdenum, Mo', '28 %', '28 %', ''], ['Nickel, Ni', '69 %', '69 %', ''], ['Silicon, Si', '<= 0.10 %', '<= 0.10 %', '']]"
Alliance A-8 Alnico Magnetic Material,"{'metric_value': '7.30', 'metric_unit': 'g/cc', 'comment': ''}",,,,,,,[]
"Haynes 625 alloy, hot rolled and 1050°C mill-annealed plate","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '490', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '895', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
"Haynes 625 alloy, 50% cold reduction, 1120°C anneal for 5 minutes","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '420', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '900', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
"Haynes R-41 alloy, 1.27 mm thick sheet, solution heat treated at 1079°C, water quenched, 30 minutes at 1066°C, aged 16 hours at 760°C (1400°F), air cooled","{'metric_value': '8.25', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '222', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1024', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1285', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.452', 'metric_unit': 'J/g-°C@Temperature 21.0 °C', 'comment': ''}","[{'value': '13.5 µm/m-°C', 'start_temp': '21.0 °C', 'end_temp': '538 °C'}]","[['Aluminum, Al', '1.4 - 1.6 %', '1.4 - 1.6 %', ''], ['Boron, B', '0.0030 - 0.010 %', '0.0030 - 0.010 %', ''], ['Carbon, C', '0.050 - 0.12 %', '0.050 - 0.12 %', ''], ['Chromium, Cr', '18 - 20 %', '18 - 20 %', ''], ['Cobalt, Co', '10 - 12 %', '10 - 12 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Molybdenum, Mo', '9.0 - 10.5 %', '9.0 - 10.5 %', ''], ['Nickel, Ni', '53 %', '53 %', 'As Remainder'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', ''], ['Titanium, Ti', '3.0 - 3.3 %', '3.0 - 3.3 %', '']]"
"Materion Beryllium Nickel Strip - Alloy 360 1/4 Hard, 2.5 hr at 950°F","{'metric_value': '8.28', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '19', 'metric_unit': '5', 'comment': ''}","{'metric_value': '1206', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1586', 'metric_unit': 'MPa', 'comment': ''}",,,"[{'value': '14.0 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Beryllium, Be', '1.85 - 2.05 %', '1.85 - 2.05 %', ''], ['Copper, Cu', '<= 0.25 %', '<= 0.25 %', ''], ['Nickel, Ni', '97.3 %', '97.3 %', 'as balance'], ['Titanium, Ti', '0.40 - 0.60 %', '0.40 - 0.60 %', '']]"
Resistalloy International Resistalloy 8020 Nickel Chromium Electrical Resistance Alloy,"{'metric_value': '8.30', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '450', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '750', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.460', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '15.0 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '250 °C'}]","[['Chromium, Cr', '20 %', '20 %', ''], ['Nickel, Ni', '80 %', '80 %', '']]"
Goodfellow Nickel 55/Titanium 45 Shape Memory Alloy,"{'metric_value': '6.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '60.', 'metric_unit': '0', 'comment': ''}",,,,,,"[['Nickel, Ni', '55 %', '55 %', ''], ['Titanium, Ti', '45 %', '45 %', '']]"
MetalTek MTEK 617 Severe Corrosion and Heat Resistant Alloy,"{'metric_value': '8.11', 'metric_unit': 'g/cc', 'comment': 'Based on UNS number'}",,"{'metric_value': '275', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '485', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.15 %', '<= 0.15 %', ''], ['Chromium, Cr', '20 - 24 %', '20 - 24 %', ''], ['Cobalt, Co', '10 - 15 %', '10 - 15 %', ''], ['Manganese, Mn', '<= 1.0 %', '<= 1.0 %', ''], ['Molybdenum, Mo', '8.0 - 10 %', '8.0 - 10 %', ''], ['Nickel, Ni', '48.85 - 62 %', '48.85 - 62 %', 'As Balance'], ['Silicon, Si', '<= 1.0 %', '<= 1.0 %', ''], [''], [], ['Heat Treatment', 'Sol. Anneal', '']]"
